Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Class
AA,1826,DFW,ICT,1,1225,70,0
OO,4584,RAP,MSP,6,710,94,1
OH,6548,JFK,PIT,3,885,108,0
WN,862,MDW,BNA,3,640,80,0
UA,950,LAX,IAD,2,493,281,1
OO,7774,SLC,SGU,4,920,81,0
US,952,FLL,PHL,2,360,157,0
EV,5332,DTW,ELM,1,1079,78,1
US,191,PHX,SAN,2,1195,74,0
AA,538,BUR,DFW,7,410,185,0
9E,3799,ICT,ATL,2,783,127,1
OO,4834,LAX,LAS,7,1079,70,1
WN,23,PHX,ELP,4,455,65,0
F9,147,HOU,DEN,7,1150,145,0
US,943,ORF,CLT,3,420,85,0
MQ,4142,ORD,PIT,7,730,85,1
FL,356,ATL,LGA,1,1038,121,0
UA,511,JFK,LAX,4,1225,392,1
DL,2997,JFK,PDX,3,1110,382,0
OO,6464,ELP,DEN,3,394,112,0
DL,2622,PHX,DTW,7,915,230,1
XE,5920,ORD,CLE,1,1031,76,1
FL,95,ATL,RDU,4,545,73,0
F9,403,DEN,LAX,1,525,146,1
OO,6314,CIC,SFO,4,360,65,0
OO,6546,PDX,MFR,4,430,61,1
XE,2213,IAH,XNA,7,809,85,0
XE,2309,ATL,IAH,3,410,136,1
WN,1570,LAX,ABQ,6,770,105,1
XE,2634,HRL,IAH,6,1015,72,1
WN,1265,SDF,MDW,5,470,75,0
OH,6425,MSP,CVG,4,910,114,0
FL,683,ATL,ICT,2,625,148,0
US,1155,PHL,MIA,3,460,180,0
9E,3950,MSP,ATW,4,1185,64,0
FL,503,MKE,LGA,4,795,124,0
MQ,3607,MIA,ATL,7,445,120,0
WN,1653,PDX,PHX,6,515,150,0
UA,197,IAD,SEA,6,961,358,1
WN,200,DAL,STL,3,1030,95,1
US,1429,CLT,ATL,4,706,84,0
MQ,4222,ORD,TYS,2,1035,95,1
FL,820,BOS,BWI,5,614,80,0
WN,1127,AUS,DAL,5,390,55,0
WN,3598,BOI,DEN,5,995,110,1
OO,4711,GFK,MSP,4,900,74,1
MQ,3011,LAX,FAT,4,470,60,1
CO,474,EWR,SJU,4,1270,237,1
DL,2019,LGA,MSP,7,1100,197,0
DL,1545,DCA,DTW,3,450,100,0
WN,20,BWI,HOU,1,465,225,0
F9,323,DCA,MKE,4,1080,130,1
AA,1255,DFW,SEA,5,990,260,1
WN,2953,SEA,SJC,5,990,125,1
DL,1200,ATL,BOS,5,595,163,0
UA,318,DEN,TUL,5,1228,97,0
DL,1004,ATL,DAY,1,655,99,1
AS,690,SEA,GEG,3,720,63,0
B6,345,JFK,SRQ,4,477,183,0
OO,6735,MSO,DEN,3,792,112,0
AA,2039,MIA,ORD,7,1255,190,0
EV,5472,ATL,SYR,1,575,129,0
XE,2516,ROC,EWR,4,1065,93,1
9E,3716,SBN,MSP,2,420,99,1
DL,1446,PHX,ATL,2,500,210,0
AS,889,SAN,OGG,3,570,350,0
F9,848,SEA,DEN,4,1155,147,1
DL,1210,SLC,BOS,7,600,274,0
XE,2527,EWR,GSO,5,727,101,0
DL,1182,SLC,STL,6,1200,170,1
OH,6379,BOS,JFK,5,360,85,0
WN,2579,SNA,SJC,5,1075,75,1
US,1106,CLT,PHL,2,680,95,0
OO,6472,LAX,ABQ,4,455,109,0
UA,465,DEN,BIL,4,1305,93,0
DL,2586,SLC,ATL,3,665,215,1
US,1274,PHL,IND,5,610,137,0
UA,442,ORD,BDL,5,990,128,0
OO,6637,ORD,OMA,5,360,89,0
DL,1236,MKE,DTW,7,978,72,0
XE,5994,FSD,ORD,1,360,96,0
FL,494,CLT,BWI,2,440,80,0
9E,4007,MEM,DAL,3,830,95,1
DL,2056,OAK,SLC,4,785,100,1
DL,1591,ATL,BHM,6,870,51,1
OO,6507,SLC,SFO,6,850,143,1
UA,140,SFO,SNA,1,1225,92,0
EV,5475,ATL,CSG,3,975,44,1
YV,7287,ORF,ORD,5,360,143,0
AA,504,DFW,MSY,5,1115,80,0
US,541,DFW,LAS,3,450,178,0
MQ,4154,CMH,ORD,6,435,85,0
AS,21,ORD,SEA,2,480,280,1
HA,301,ITO,HNL,3,887,49,1
DL,1046,SLC,ATL,6,735,214,0
WN,571,LAX,MCI,1,645,190,1
WN,1655,BNA,MDW,2,450,90,0
MQ,4540,CMH,LGA,7,795,104,0
YV,2775,ELP,PHX,1,510,99,0
F9,707,RSW,DEN,4,1080,254,1
DL,1610,DEN,DTW,4,480,178,1
DL,2265,ATL,MEM,3,755,88,0
OO,6863,GJT,DEN,1,911,54,0
XE,5917,OKC,ORD,7,360,125,0
XE,2218,EWR,RIC,2,1140,87,1
OO,6532,DEN,BUR,2,725,153,0
OO,6672,ORD,SPI,1,1016,52,0
FL,308,DEN,ATL,1,1012,163,0
FL,135,ATL,TPA,7,625,93,1
EV,5255,ATL,TUL,3,965,129,1
WN,1002,LGA,BWI,5,440,70,0
AA,1386,ORD,MSP,5,1170,95,0
DL,2736,MEM,LGA,4,880,160,0
UA,928,PDX,ORD,7,688,232,0
B6,130,JFK,BUF,3,1110,93,0
OO,6549,RDM,SFO,2,1225,101,1
CO,106,IAH,EWR,7,645,202,0
AA,1543,BNA,DFW,6,515,130,0
MQ,4042,SGF,ORD,4,425,105,0
MQ,4275,MSN,ORD,6,360,55,1
YV,2865,FLG,PHX,6,770,65,1
OO,6851,LAS,PSP,5,840,60,0
DL,1876,MCO,LGA,2,866,153,0
HA,277,KOA,HNL,3,1050,42,1
WN,2401,OAK,MCI,6,685,200,1
XE,2478,GSO,EWR,4,1130,102,1
DL,2245,DCA,DTW,7,1155,102,0
XE,5985,BNA,ORD,2,392,107,1
DL,1800,JAX,ATL,6,450,90,0
OO,6361,TUL,DEN,4,738,106,0
UA,326,IAD,DFW,2,512,223,0
WN,1649,DAL,AUS,5,710,50,1
CO,16,LAX,EWR,7,625,302,0
DL,2584,SLC,RNO,3,695,91,1
WN,1930,LAX,DEN,4,440,140,1
US,16,SFO,PHX,6,725,116,0
WN,1752,ELP,DAL,2,830,90,1
CO,359,DCA,IAH,6,1055,205,0
OO,4758,SLC,MCI,3,1027,142,1
US,623,STL,PHX,6,880,203,0
AA,1678,DFW,BWI,6,490,165,0
WN,164,LAS,PHX,1,1280,60,1
AA,1154,DFW,ICT,2,765,75,0
CO,675,PIT,IAH,5,1060,190,1
AA,73,ORD,HNL,1,670,560,0
AA,1245,MCO,MIA,4,1080,70,1
XE,2854,DFW,CLE,7,890,150,0
WN,1892,LAS,SJC,6,450,85,0
9E,4179,MSP,DSM,7,615,71,1
CO,1511,IAH,SNA,5,1050,222,1
OO,4680,SLC,EUG,2,692,115,0
US,368,SMF,PHX,6,1155,105,0
DL,1279,MEM,LAS,5,840,226,0
9E,4008,ATL,SBN,6,570,119,0
UA,955,SFO,SAN,6,985,96,1
9E,4344,PIT,JFK,4,650,102,0
YV,2630,CLT,IAD,3,970,83,1
DL,1672,TPA,ATL,6,439,101,0
WN,135,OKC,LAS,7,1140,170,1
DL,2077,BDL,DTW,3,987,128,1
EV,5602,AVL,ATL,1,990,61,0
OH,6498,ORD,ATL,3,350,128,0
OO,4673,SLC,BUR,5,1191,115,0
AS,731,IAH,SEA,4,1105,285,0
FL,672,MCO,MKE,1,425,176,0
YV,1962,ITO,HNL,7,1165,47,0
WN,2928,SAN,SFO,7,420,100,0
FL,543,PHX,ATL,5,1439,208,1
AA,625,MCO,MIA,6,920,65,0
DL,1301,IND,ATL,1,360,105,1
US,1644,TPA,PHL,3,375,146,1
WN,271,SAN,BNA,4,700,220,1
WN,1696,RDU,MDW,6,505,125,1
YV,1047,HNL,OGG,3,945,35,0
AS,527,BUR,SEA,5,420,160,0
9E,3710,DTW,ELM,5,600,79,0
OO,4470,FAR,MSP,4,912,66,0
HA,190,LIH,HNL,5,1001,30,0
9E,3775,DTW,MLI,1,540,93,1
AA,1826,DFW,ICT,7,1225,70,1
CO,1828,EWR,DEN,5,540,265,1
UA,56,KOA,SFO,6,830,310,1
WN,581,JAX,TPA,5,1000,55,1
WN,2978,IAD,MDW,2,545,125,0
DL,1817,ATL,DEN,3,840,200,1
CO,2,GUM,HNL,7,400,430,0
XE,2334,IAH,SAV,5,850,121,0
9E,4178,DTW,ATW,4,925,85,0
WN,1235,BNA,BWI,7,580,95,1
OO,6585,CWA,ORD,4,1082,68,0
AA,1536,DFW,BHM,2,575,95,1
WN,821,LAX,LAS,7,475,60,1
OO,6823,ASE,DEN,5,905,45,1
YV,7269,SBN,ORD,5,932,44,1
CO,1606,SAN,IAH,7,585,185,0
WN,3060,LAX,PHX,1,370,75,0
AA,879,TUL,DFW,4,425,70,1
OO,6677,DEN,FAT,1,1102,147,0
DL,1935,DTW,BNA,3,440,115,0
DL,108,MCO,ATL,3,930,93,1
DL,2477,LAX,OGG,4,1062,352,1
9E,4005,DTW,RIC,2,1035,105,0
F9,360,DEN,TPA,3,1000,196,0
AS,314,SFO,PSP,3,1240,85,0
DL,1512,ATL,ORD,3,885,130,1
US,1187,CLT,STT,6,585,220,0
B6,171,JFK,SMF,4,1155,395,1
WN,203,SAN,TUS,1,840,70,1
XE,2278,IAH,OMA,5,930,128,0
MQ,2835,DFW,JAN,4,995,75,0
WN,438,PHX,SEA,6,860,190,1
US,89,PDX,PHX,1,1080,148,0
AA,1716,DFW,BWI,7,840,165,1
AA,442,SFO,MIA,6,765,320,1
WN,862,OMA,MDW,4,520,85,0
WN,2260,TPA,BHM,5,915,85,1
OO,6570,DEN,HSV,7,620,148,0
YV,2681,CVG,CLT,1,419,86,0
AA,721,LGA,DFW,7,555,260,0
EV,5104,BMI,ATL,5,719,104,1
US,678,PHX,BOI,5,1270,130,0
WN,942,PHX,AUS,3,970,135,1
WN,1450,DEN,LAS,7,410,115,0
OH,6484,ATL,GSO,2,1315,86,0
WN,3491,MAF,HOU,4,580,80,0
WN,1569,MCO,STL,7,610,155,0
F9,701,MSY,DEN,2,1049,165,1
WN,611,BUF,BWI,4,1155,70,0
YV,7283,SAT,ORD,1,466,160,0
US,2182,DCA,LGA,4,1080,84,0
FL,1743,MCO,PIT,2,670,133,0
B6,1759,FLL,SJU,2,907,150,1
DL,1909,FNT,ATL,3,375,146,0
MQ,3364,TLH,DFW,1,1020,150,0
WN,2885,DEN,TUS,5,565,115,0
EV,5438,EWR,DTW,6,750,128,0
YV,7247,ORD,SBN,7,872,45,0
9E,3790,DTW,MLI,2,745,91,0
MQ,2879,DFW,XNA,6,1170,70,1
DL,1720,MIA,CVG,7,760,158,1
EV,5004,OAJ,ATL,1,992,97,0
9E,4307,DTW,CVG,2,635,76,1
9E,3739,MSP,RST,3,1295,45,0
MQ,4070,ORD,BUF,5,965,95,1
WN,892,SFO,LAS,3,1305,80,1
US,1815,PHL,CLT,2,705,109,1
OO,6434,SMX,LAX,4,374,57,0
WN,391,OAK,SAN,3,1055,85,1
WN,359,LAS,SNA,3,1055,65,1
WN,945,PHX,SNA,5,1005,75,1
EV,5308,BHM,ATL,5,1080,72,0
EV,5035,CVG,EWR,5,905,124,0
DL,2679,IAD,ATL,5,1132,123,1
9E,4390,CID,DTW,4,375,106,0
WN,2208,BHM,MDW,4,835,110,1
DL,2034,ATL,MSP,5,1220,163,0
9E,4063,JFK,PIT,7,1230,130,0
YV,2986,PSP,PHX,6,775,67,0
CO,1527,BWI,IAH,6,895,214,1
OH,6419,CVG,STL,5,575,107,0
AA,2299,DTW,MIA,7,360,190,0
DL,258,SFO,MSP,2,500,217,0
OO,7048,ORD,ATL,1,963,115,1
OO,6560,BOI,SFO,4,480,123,1
DL,1911,PBI,DTW,7,821,174,1
DL,2505,TPA,MSP,4,1086,213,1
9E,3805,CLE,MEM,5,435,144,0
AA,453,DFW,PDX,1,765,255,0
WN,31,HOU,HRL,5,930,60,1
AA,374,TUS,ORD,4,410,205,0
DL,1433,CLT,ATL,5,500,83,1
AA,2530,MIA,LAS,1,1170,335,1
DL,2667,ATL,SAN,6,1294,293,0
US,6,ORD,PHX,5,840,227,1
OO,7010,DEN,MTJ,4,689,56,1
EV,5496,ATL,CHO,5,898,94,1
B6,621,JFK,HOU,3,710,244,0
UA,516,PHX,SFO,7,1239,123,1
9E,4293,JFK,BUF,3,655,125,0
FL,506,LGA,MKE,7,1122,147,1
OO,6605,LAX,LAS,3,1215,70,1
WN,2061,LAX,SJC,6,955,65,1
B6,1109,JFK,RDU,5,1310,103,0
YV,7301,IAD,PVD,3,497,75,0
MQ,3844,ORD,ATL,3,495,120,0
WN,3320,BNA,BWI,2,1145,100,0
OO,4498,SLC,BOI,2,615,69,1
MQ,2789,DFW,SGF,6,1065,75,1
WN,713,OKC,MCI,7,585,70,0
9E,3977,MHT,DTW,1,979,131,1
WN,1107,LIT,STL,3,390,70,1
B6,609,PWM,JFK,7,860,82,0
HA,48,HNL,OAK,4,875,310,1
MQ,3816,DEN,ORD,3,620,145,1
OO,4680,SLC,EUG,2,692,123,0
DL,1429,JFK,LAS,7,423,357,0
WN,2200,PHL,RSW,1,735,185,0
WN,868,BNA,MDW,2,1200,85,1
WN,711,SAT,LAS,1,470,175,0
XE,2980,IAH,TYS,2,810,118,0
OO,6567,TYS,ORD,5,920,106,0
DL,1513,ATL,DTW,1,1080,125,1
WN,2200,BOS,PHL,3,610,100,0
OO,6668,IDA,DEN,2,460,102,0
WN,797,MDW,TPA,2,875,160,1
YV,2748,MEM,PHX,6,450,223,0
OH,6499,CVG,DEN,6,1240,196,1
WN,367,BNA,ECP,1,470,80,1
F9,371,MKE,DEN,1,865,155,1
AA,1596,PDX,DFW,4,360,225,0
OO,4644,MSP,GFK,2,550,75,0
AA,386,ORD,LGA,1,535,120,0
WN,1463,CMH,MDW,1,1205,75,1
US,1944,CLT,EWR,5,1335,103,0
WN,848,OAK,LAX,1,840,70,1
OO,4481,PIT,MSP,7,775,138,1
DL,1456,SRQ,ATL,1,657,101,0
AA,2099,ORD,LAX,4,440,265,0
B6,1438,LGB,SFO,6,440,81,0
MQ,4612,LGA,RDU,2,900,110,0
AS,730,ANC,SEA,7,365,205,0
WN,1629,HOU,DAL,7,900,60,1
MQ,3042,SBA,LAX,7,875,45,0
EV,5173,ATL,BHM,3,570,59,1
DL,2159,JFK,MCO,3,1130,191,0
WN,912,DEN,FLL,2,720,230,1
DL,1011,ATL,MDW,3,1140,123,1
US,2133,BOS,LGA,7,900,76,0
EV,7091,IAD,JFK,3,501,74,1
9E,3994,MSP,RST,5,860,50,0
OO,4844,SLC,RAP,7,1025,98,1
OO,6527,ORD,COS,5,593,153,1
XE,5929,CLE,IAD,3,360,75,0
UA,415,DEN,SFO,2,616,174,0
WN,237,PDX,RNO,2,465,80,0
F9,360,DEN,TPA,7,990,196,0
DL,1797,ATL,SJC,2,1165,332,0
WN,1175,SNA,OAK,1,405,105,1
DL,2052,MTJ,ATL,1,785,190,0
FL,1454,HPN,PBI,4,791,174,0
DL,264,PHX,MSP,1,850,185,0
9E,3863,JAX,MEM,4,465,120,0
DL,2600,MSP,BWI,7,1150,145,0
OO,6441,DAY,DEN,3,978,186,0
HA,545,OGG,HNL,2,1073,34,0
CO,1585,MFE,IAH,3,325,62,0
OO,6363,SMF,LAX,6,1212,83,0
XE,2751,MOB,IAH,4,1120,94,0
WN,745,DEN,OKC,5,950,85,0
WN,750,ELP,LAX,4,935,130,1
OO,6942,EUG,PDX,5,856,37,0
OO,6457,SFO,SNA,3,765,88,1
OO,6360,ORD,DAY,5,973,64,0
OO,6751,MCI,ORD,7,1002,92,0
US,1993,PVD,CLT,4,1135,136,0
MQ,2878,GJT,DFW,3,395,135,0
MQ,3334,DFW,GJT,1,605,135,0
WN,1076,HOU,LAX,3,425,225,1
MQ,4332,ORD,SYR,4,925,110,0
OO,6928,DEN,FAR,3,989,107,0
YV,1012,LIH,HNL,5,600,29,0
DL,1045,IND,ATL,1,865,100,1
UA,815,DEN,LAX,2,1290,159,0
DL,1840,LIH,LAX,5,1291,325,0
DL,2048,DTW,LGA,3,610,113,1
AA,2559,EWR,DFW,4,900,245,0
9E,4101,FNT,MSP,7,779,101,1
EV,5415,CHA,ATL,7,657,53,1
WN,1509,MCI,MCO,2,1070,160,0
WN,2274,BDL,DEN,6,595,275,1
9E,4225,LAN,DTW,2,1030,56,1
XE,2980,IAH,TYS,5,810,118,1
WN,2616,MCI,DAL,5,1180,90,1
AA,1361,HSV,DFW,1,385,135,0
WN,1178,DAL,STL,4,435,95,0
XE,2858,LRD,IAH,3,490,74,0
UA,566,ORD,ATL,1,1098,124,0
AA,1415,TPA,DFW,2,990,170,1
WN,1143,MDW,TUS,5,1155,235,1
CO,187,MCO,IAH,5,540,159,0
AA,1335,DCA,DFW,7,440,215,0
WN,1122,LAS,BWI,7,785,270,1
EV,7112,IAD,ROA,2,1333,55,0
UA,660,DEN,EWR,1,754,225,1
FL,36,ATL,MDW,1,1113,106,0
DL,11,ATL,MCO,3,960,89,1
AS,137,PDX,ANC,3,1065,235,1
OO,6672,ORD,SPI,3,1028,51,0
OO,7755,SLC,CDC,6,459,72,1
WN,1365,BOI,LAS,6,720,100,0
XE,5931,ORD,ICT,5,1072,114,0
US,1033,CLT,MIA,5,1215,127,0
9E,3753,MEM,JAX,7,870,104,0
CO,433,LGA,IAH,7,790,246,1
B6,251,OAK,LGB,4,969,76,1
YV,2881,SBP,PHX,7,750,95,0
WN,502,LAS,MCI,4,485,170,1
OO,4521,SLC,SMF,3,1030,97,1
XE,5898,CLE,IAD,6,870,80,0
FL,340,ATL,PHL,4,675,117,1
DL,2305,MSP,SFO,6,545,259,1
AA,1341,ORD,SFO,5,435,285,1
XE,5950,LAN,ORD,4,534,71,1
AA,1595,DFW,LAS,3,1185,180,0
WN,1678,BOS,DEN,2,495,295,1
DL,2180,SLC,SMF,6,1190,104,1
WN,899,OAK,DEN,7,785,140,0
CO,63,EWR,IAH,2,1045,244,0
CO,60,IAH,EWR,3,725,210,1
EV,5478,ATL,CAE,5,1150,66,0
9E,3786,MEM,FSM,6,1160,71,0
OO,6426,SMF,SFO,1,737,49,1
AA,1775,DFW,SNA,5,675,195,0
WN,815,MCI,STL,1,440,65,1
OO,6953,BOI,ORD,4,944,198,0
AA,726,DFW,LGA,1,690,195,0
DL,1863,DCA,MSP,2,972,166,0
OO,6522,PHX,LAX,1,929,81,0
US,1768,CLT,DCA,7,990,79,0
MQ,3672,SDF,MIA,2,435,155,0
OO,4705,MCI,SLC,6,370,162,1
EV,5217,JAN,ATL,6,855,79,1
HA,508,LIH,OGG,2,550,43,0
WN,1048,MSY,DAL,2,765,85,1
WN,692,DEN,TPA,7,585,210,1
DL,1863,DCA,MSP,2,975,171,1
9E,4200,TYS,CVG,1,355,64,0
XE,3023,EWR,ORF,2,895,79,0
OH,6608,DTW,LEX,4,540,84,0
EV,4956,MSP,DTW,5,1300,105,0
WN,1497,MSY,FLL,1,545,105,0
EV,5425,ATL,CRW,3,728,77,1
DL,1697,PHL,MSP,7,691,188,1
MQ,2705,DFW,ROW,1,795,95,1
DL,2539,DCA,ATL,4,600,110,1
UA,687,ORD,MSP,4,1126,93,1
FL,1452,HPN,PBI,6,965,179,0
FL,239,ATL,RIC,7,525,87,0
US,373,JFK,CLT,2,1109,131,1
WN,1639,BWI,PVD,6,475,70,0
WN,3147,LAX,SJC,2,575,65,0
OH,6765,LGA,MSN,3,867,172,0
OO,6769,DEN,FAR,6,1240,111,1
AA,1425,ORD,SNA,5,500,265,0
WN,226,MCO,PHL,7,495,145,0
OH,6671,DTW,CVG,7,824,81,0
XE,2497,IAH,ICT,5,975,101,0
XE,2131,IAH,CRP,5,1285,59,0
US,1922,RSW,PHL,3,365,156,1
US,113,PHL,LAS,4,950,338,0
US,1172,TPA,DCA,5,705,124,0
WN,1528,STL,MSY,6,590,120,0
DL,2203,ATL,LAS,7,505,282,1
YV,2730,PHX,LGB,2,670,85,0
AA,12,SFO,JFK,3,565,334,0
DL,2578,SAN,SLC,7,375,120,0
WN,348,LAS,MHT,4,845,290,1
XE,2817,IAH,HRL,4,695,69,1
WN,2489,MCO,HOU,5,555,160,1
OO,4474,MOT,MSP,3,410,82,1
WN,580,SDF,STL,3,590,70,1
OO,4673,SLC,BUR,3,1191,115,1
DL,2660,MEM,LGA,5,510,165,1
WN,526,PHX,BUR,1,905,85,1
UA,178,LAX,ORD,1,584,240,1
DL,2967,ATL,SAN,3,665,294,0
OO,6715,ICT,DEN,3,1223,94,1
UA,412,SAT,IAD,7,714,201,1
US,754,ATL,PHL,4,890,129,0
AA,1363,RDU,MIA,3,420,130,0
MQ,2709,DFW,PIA,5,895,110,1
EV,7129,ORD,CVG,6,965,69,1
WN,1047,MDW,LAS,4,1095,250,1
WN,3230,JAX,BNA,7,935,95,1
YV,1047,LIH,HNL,4,890,29,0
OO,4750,ONT,SLC,2,980,104,1
OO,4711,GFK,MSP,6,900,74,1
OO,6524,PDX,RDM,5,1300,38,0
WN,1542,DTW,DEN,5,445,210,1
EV,7103,BOS,IAD,3,988,102,1
XE,2756,CLE,PVD,3,450,94,0
MQ,3932,SGF,ORD,2,485,95,0
DL,2387,MKE,ATL,2,350,129,0
EV,5377,MLI,ATL,7,735,116,1
EV,5196,ATL,DSM,2,505,138,1
US,639,IND,PHX,2,1080,238,0
OO,6404,SFO,EUG,7,516,92,0
US,2121,BOS,LGA,2,540,81,0
HA,143,HNL,LIH,1,650,37,1
HA,144,LIH,HNL,4,715,32,0
MQ,2919,DFW,BTR,1,620,80,1
UA,266,DEN,MIA,4,616,238,1
OO,6611,DEN,PHX,3,695,111,0
OO,4487,SLC,SEA,1,585,135,1
AA,829,DFW,COS,7,1270,115,1
US,656,DFW,PHX,4,1110,161,0
OO,4814,SFO,SLC,2,709,110,1
OO,7812,RKS,GCC,6,1270,68,1
MQ,4141,ORD,MCI,3,1045,100,0
YV,7304,JAX,IAD,2,888,107,0
OO,6828,RNO,SFO,4,386,69,0
MQ,3234,ACT,DFW,2,845,45,0
WN,851,JAX,LAS,7,775,310,1
WN,401,BWI,RDU,5,970,65,1
EV,5301,MEM,BTR,3,860,75,0
YV,1007,HNL,KOA,3,1170,40,0
WN,2968,SAN,OAK,5,1165,85,1
DL,736,SMF,ATL,1,1365,258,1
EV,5201,ATL,ALB,7,890,137,0
OH,6577,JFK,ORD,6,585,177,0
WN,705,TUL,DEN,4,790,110,1
9E,3684,JFK,BTV,2,540,109,1
MQ,3625,MIA,PNS,5,1235,105,0
FL,782,LGA,PHF,4,480,81,0
US,1890,CLT,EWR,7,1090,118,0
CO,1567,MCI,IAH,7,489,116,0
MQ,3732,MSP,ORD,4,920,95,1
9E,4153,MBS,DTW,6,491,57,0
WN,2175,LAX,OAK,4,950,70,1
WN,697,LBB,AUS,2,375,70,0
DL,1840,LIH,LAX,1,1303,317,0
WN,694,MDW,CMH,5,985,65,1
CO,1669,SFO,IAH,1,875,220,1
OO,4818,SLC,DEN,1,585,85,0
AA,1536,DFW,BHM,5,575,95,0
AA,2200,LAS,DFW,3,850,165,0
EV,5172,DTW,OKC,2,1185,160,0
US,454,PHX,SLC,1,1270,99,0
MQ,3761,SLC,ORD,1,690,190,1
MQ,4014,ORD,IND,3,610,60,0
WN,2899,SAN,PHX,3,1065,70,1
AS,662,SEA,DFW,7,730,227,0
OO,6989,RNO,DEN,6,711,134,0
DL,2050,MCI,MEM,3,985,84,1
B6,9,JFK,FLL,1,940,199,0
XE,3038,IAH,BNA,6,1205,109,0
DL,1735,LAX,LIH,2,840,373,1
CO,1881,EWR,SEA,3,1080,366,1
OO,6830,BOI,LAX,4,1206,129,1
WN,3669,BUR,SMF,7,1265,75,1
OO,6891,DEN,MSO,6,1123,122,0
AA,2450,LAX,DFW,7,915,175,1
EV,5027,MLI,ATL,6,360,130,0
US,587,IAH,PHX,4,1080,183,1
US,1565,PHL,FLL,4,1105,179,1
DL,82,SLC,JFK,3,665,276,1
MQ,3463,DFW,MTJ,3,715,125,1
XE,2543,SAV,EWR,1,735,127,0
WN,1346,DAL,ELP,6,505,110,1
OH,6637,MEM,XNA,7,865,76,0
AA,1040,DFW,BUR,1,680,205,0
WN,3853,PVD,TPA,1,540,200,0
YV,2914,BFL,PHX,6,723,92,0
AS,878,OGG,SEA,6,545,335,0
FL,113,ATL,DFW,3,909,146,0
YV,7268,CHS,ORD,3,398,148,0
MQ,4133,ORD,PIT,4,1000,90,0
OO,6695,ELP,DEN,7,746,108,0
AA,1733,ORD,PHX,6,1190,235,0
AS,636,SEA,PHX,1,750,163,0
DL,2564,CVG,JFK,1,920,132,1
UA,672,ORD,LGA,5,480,132,0
AA,145,BOS,LAX,6,1010,395,0
US,910,CLT,BWI,5,1070,79,1
WN,588,BWI,MCO,1,720,140,1
DL,2804,MSY,LAX,6,1130,267,1
XE,5932,ORD,BTV,6,1016,120,0
OO,6532,CLE,DEN,5,535,206,0
OO,7004,DEN,GJT,4,730,58,1
MQ,4209,CLE,ORD,1,990,90,1
AA,34,LAX,JFK,1,510,322,1
AS,560,PDX,LAX,3,400,137,0
WN,389,DAL,OKC,7,895,50,1
XE,5911,ORD,PIA,1,785,49,0
WN,570,SFO,SAN,1,1260,85,1
9E,3779,FSM,MEM,4,380,67,0
DL,2097,MSP,ATL,1,465,155,0
WN,3405,LAS,ONT,2,860,55,1
FL,88,ATL,FLL,6,1199,101,0
YV,7309,SYR,ORD,2,410,140,0
9E,4362,DTW,PIT,5,600,70,0
DL,1838,AUS,ATL,5,805,130,0
US,4,PHX,LAS,4,680,75,1
WN,1048,BWI,MSY,1,620,180,1
US,2179,LGA,DCA,5,900,78,1
AA,1983,JFK,MIA,3,870,210,1
DL,1054,ATL,SAV,3,1300,66,1
AA,1885,DFW,FAT,5,660,215,1
MQ,3044,LAX,DEN,1,725,140,0
YV,7294,SYR,ORD,3,410,146,0
WN,1602,LBB,DAL,5,705,65,1
WN,1268,BOS,BWI,2,405,110,0
WN,493,OAK,LAX,4,400,75,1
XE,3039,IAH,MKE,6,702,140,0
OO,6844,DEN,HDN,1,533,52,0
DL,2448,CVG,RSW,2,1225,137,1
WN,518,SMF,SNA,1,525,90,0
CO,675,PIT,IAH,7,1060,190,1
MQ,3677,CMH,MIA,6,890,170,0
YV,7254,SAV,ORD,2,680,145,0
XE,5905,ABE,ORD,5,360,136,0
HA,304,LIH,HNL,1,600,30,0
MQ,3631,MIA,BNA,7,745,150,1
OO,6706,ORD,OMA,1,740,99,0
WN,2515,BOS,MDW,5,715,170,0
AA,572,LAS,ORD,7,590,215,0
OO,6833,PDX,SEA,7,583,54,1
FL,796,STL,ATL,4,395,114,0
OO,4782,SFO,LAX,3,1220,90,1
WN,1694,AUS,ELP,6,470,100,1
AA,1636,DFW,OMA,4,785,105,0
UA,696,ORD,LGA,1,1146,126,0
EV,5444,ATL,MDT,3,1216,112,0
HA,181,ITO,HNL,2,771,49,1
MQ,3963,ORD,BNA,7,815,90,0
WN,1238,BWI,MHT,5,930,75,1
CO,57,EWR,MCO,3,870,175,1
US,721,CLT,MIA,7,1085,125,1
B6,723,JFK,BQN,1,1425,216,1
YV,2854,FLG,PHX,5,465,71,1
AS,627,LAS,BLI,4,825,164,1
YV,2737,LGB,PHX,5,1140,81,0
OO,6929,DEN,DRO,3,1173,64,0
OO,4473,SLC,ABQ,2,910,100,0
CO,1675,CLE,TPA,2,465,158,0
MQ,3704,ELP,ORD,7,400,175,0
9E,3947,PIT,DTW,4,920,85,1
WN,1847,TPA,RDU,1,775,105,1
WN,897,PHX,SNA,1,445,80,1
US,594,PHX,MCI,3,975,150,0
OO,6585,ORD,CWA,5,1006,58,0
WN,1759,STL,OKC,6,650,100,0
UA,310,DEN,LGA,7,640,223,1
WN,1656,PDX,SJC,7,650,105,1
MQ,3823,MSP,ORD,5,780,95,1
AS,192,FAI,ANC,3,1240,64,1
